Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c010,PLENCY1010010,UN,6.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c011,PLENCY1010011,UN,11.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Goma Eva Estandar,Goma Eva Estandar 20x30cm Bolsa 10UN GLITER Multic,EVASTD1011998,UN,6.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c012,PLENCYLR11012,UN,1.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Goma Eva Glitter,Goma Eva Glitter 20x30cm Bolsa 10 UN c039,EVAGLI1010039,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c016,PLENCY1010016,UN,6.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c016,PLENCYLR11016,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Goma Eva Glitter,Goma Eva Glitter 20x30cm Bolsa 10 UN c026,EVAGLI1010026,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c018,PLENCY1010018,UN,15.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Goma Eva Glitter,Goma Eva Glitter 20x30cm Bolsa 10 UN c028,EVAGLI1010028,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c017,PLENCY1010017,UN,3.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Goma Eva Glitter,Goma Eva Glitter 20x30cm Bolsa 10 UN c034,EVAGLI1010034,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c015,PLENCYLR11015,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Goma Eva Glitter,Goma Eva Glitter 20x30cm Bolsa 10 UN c038,EVAGLI1010038,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c014,PLENCY1010014,UN,11.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Goma Eva Glitter,Goma Eva Glitter 20x30cm Bolsa 10 UN c013,EVAGLI1010013,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c014,PLENCYLR11014,UN,3.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Goma Eva Glitter,Goma Eva Glitter 20x30cm Bolsa 10 UN c004,EVAGLI1010004,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Goma Eva Glitter,Goma Eva Glitter 20x30cm Bolsa 10 UN c018,EVAGLI1010018,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c015,PLENCY1010015,UN,7.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c005,PLENCYLR11005,UN,1.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c006,PLENCYLR11006,UN,5.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Goma Eva Glitter,Goma Eva Glitter 20x30cm Bolsa 10 UN c040,EVAGLI1010040,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c019,PLENCY1010019,UN,10.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c001,PLENCYLR11001,UN,17.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c003,PLENCYLR11003,UN,20.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c020,PLENCYLR11020,UN,3.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c023,PLENCYLR11023,UN,8.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c011,PLENCYLR11011,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c008,PLENCY1010008,UN,18.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c006,PLENCY1010006,UN,14.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c009,PLENCYLR11009,UN,4.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c010,PLENCYLR11010,UN,6.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c022,PLENCYLR11022,UN,2.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c002,PLENCYLR11002,UN,9.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c008,PLENCYLR11008,UN,7.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency Rollo,Paño Lency Rollo 25 Metros 1 UN c019,PLENCYLR11019,UN,7.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c023,PLENCY1010023,UN,11.0,2022,3,1,1
2022-03-01,2022,3,R30,GOMA & LENCY,Paño Lency,Paño Lency 20x30cm Bolsa 10 UN c009,PLENCY1010009,UN,7.0,2022,3,1,1
